Plugin,Gutenberg-Compatible,Compatibility Reason,Active Installs
page-links-to,no,Meta box doesn't work as expected,200000
youtube-embed-plus,no,Some editor UI is missing,200000
admin-menu-editor,yes,Doesn't include editor functionality,200000
amp,yes,Doesn't include editor functionality,200000
buddypress,yes,Doesn't include editor functionality,200000
cookie-law-info,yes,Existing functionality works in Gutenberg,200000
custom-sidebars,yes,Existing functionality works in Gutenberg,200000
enable-media-replace,yes,Doesn't include editor functionality,200000
imsanity,yes,Existing functionality works in Gutenberg,200000
intuitive-custom-post-order,yes,Doesn't include editor functionality,200000
megamenu,yes,Doesn't include editor functionality,200000
newsletter,yes,Doesn't include editor functionality,200000
one-click-demo-import,yes,Doesn't include editor functionality,200000
ps-auto-sitemap,yes,Doesn't include editor functionality,200000
quick-pagepost-redirect-plugin,yes,Doesn't include editor functionality,200000
responsive-lightbox,yes,Doesn't include editor functionality,200000
simple-lightbox,yes,Doesn't include editor functionality,200000
simple-page-ordering,yes,Doesn't include editor functionality,200000
simple-social-icons,yes,Existing functionality works in Gutenberg,200000
so-css,yes,Doesn't include editor functionality,200000
table-of-contents-plus,yes,Doesn't include editor functionality,200000
wp-instagram-widget,yes,Doesn't include editor functionality,200000
wp-postviews,yes,Doesn't include editor functionality,200000
wp-user-avatar,yes,Doesn't include editor functionality,200000
yet-another-related-posts-plugin,yes,Existing functionality works in Gutenberg,200000
auto-post-thumbnail,likely_no,,100000
insert-php,likely_no,,100000
mappress-google-maps-for-wordpress,likely_no,JavaScript error prevents use,100000
qtranslate-x,likely_no,JavaScript error prevents use,100000
quick-adsense,likely_no,Some editor UI is missing,100000
smart-slider-3,likely_no,Some editor UI is missing,100000
virtue-toolkit,likely_no,Some editor UI is missing,100000
accelerated-mobile-pages,likely_yes,Some editor UI is missing,100000
all-in-one-event-calendar,likely_yes,Doesn't include editor functionality,100000
anti-spam,likely_yes,Doesn't include editor functionality,100000
bwp-google-xml-sitemaps,likely_yes,Doesn't include editor functionality,100000
contact-form-7-honeypot,likely_yes,Doesn't include editor functionality,100000
contact-form-plugin,likely_yes,Some editor UI is missing,100000
custom-permalinks,likely_yes,Some editor UI is missing,100000
download-manager,likely_yes,Doesn't include editor functionality,100000
duracelltomi-google-tag-manager,likely_yes,Doesn't include editor functionality,100000
easy-facebook-likebox,likely_yes,Doesn't include editor functionality,100000
easy-theme-and-plugin-upgrades,likely_yes,Doesn't include editor functionality,100000
enhanced-media-library,likely_yes,"Existing functionality works in Gutenberg, Doesn't include editor functionality",100000
events-manager,likely_yes,Doesn't include editor functionality,100000
facebook-comments-plugin,likely_yes,Doesn't include editor functionality,100000
facebook-pagelike-widget,likely_yes,Doesn't include editor functionality,100000
form-maker,likely_yes,Some editor UI is missing,100000
ga-google-analytics,likely_yes,Doesn't include editor functionality,100000
godaddy-email-marketing-sign-up-forms,likely_yes,Doesn't include editor functionality,100000
google-captcha,likely_yes,Doesn't include editor functionality,100000
google-language-translator,likely_yes,Existing functionality works in Gutenberg,100000
google-maps-widget,likely_yes,Doesn't include editor functionality,100000
header-footer,likely_yes,Existing functionality works in Gutenberg,100000
hide-title,likely_yes,"Doesn't include editor functionality, Meta box doesn't work as expected",100000
kirki,likely_yes,Doesn't include editor functionality,100000
master-slider,likely_yes,Some editor UI is missing,100000
menu-icons,likely_yes,Doesn't include editor functionality,100000
nextend-facebook-connect,likely_yes,Doesn't include editor functionality,100000
option-tree,likely_yes,Doesn't include editor functionality,100000
password-protected,likely_yes,Doesn't include editor functionality,100000
recent-posts-widget-with-thumbnails,likely_yes,Doesn't include editor functionality,100000
rename-wp-login,likely_yes,Doesn't include editor functionality,100000
responsive-menu,likely_yes,Doesn't include editor functionality,100000
rustolat,likely_yes,Some editor UI is missing,100000
search-and-replace,likely_yes,Doesn't include editor functionality,100000
siteguard,likely_yes,Doesn't include editor functionality,100000
slideshow-jquery-image-gallery,likely_yes,Some editor UI is missing,100000
spacer,likely_yes,Some editor UI is missing,100000
sydney-toolbox,likely_yes,Doesn't include editor functionality,100000
tawkto-live-chat,likely_yes,Doesn't include editor functionality,100000
theme-my-login,likely_yes,Doesn't include editor functionality,100000
themeisle-companion,likely_yes,Doesn't include editor functionality,100000
tiny-compress-images,likely_yes,Some editor UI is missing,100000
title-remover,likely_yes,Doesn't include editor functionality,100000
under-construction-page,likely_yes,Doesn't include editor functionality,100000
vaultpress,likely_yes,Doesn't include editor functionality,100000
visual-form-builder,likely_yes,Some editor UI is missing,100000
white-label-cms,likely_yes,Doesn't include editor functionality,100000
woocommerce-pdf-invoices-packing-slips,likely_yes,Doesn't include editor functionality,100000
wordpress-23-related-posts-plugin,likely_yes,Some editor UI is missing,100000
wp-add-custom-css,likely_yes,Existing functionality works in Gutenberg,100000
wp-dbmanager,likely_yes,Doesn't include editor functionality,100000
wp-edit,likely_yes,Existing functionality works in Gutenberg,100000
wp-file-manager,likely_yes,Doesn't include editor functionality,100000
wp-google-fonts,likely_yes,Doesn't include editor functionality,100000
wp-google-map-plugin,likely_yes,Doesn't include editor functionality,100000
wp-lightbox-2,likely_yes,Doesn't include editor functionality,100000
wp-polls,likely_yes,Some editor UI is missing,100000
wp-postratings,likely_yes,Doesn't include editor functionality,100000
wp-slimstat,likely_yes,Doesn't include editor functionality,100000
xml-sitemap-feed,likely_yes,Doesn't include editor functionality,100000
yith-woocommerce-ajax-navigation,likely_yes,Doesn't include editor functionality,100000
addquicktag,no,Doesn't include editor functionality,100000
better-font-awesome,no,Some editor UI is missing,100000
fancybox-for-wordpress,no,Some editor UI is missing,100000
foobox-image-lightbox,no,Some editor UI is missing,100000
foogallery,no,Some editor UI is missing,100000
maxbuttons,no,Some editor UI is missing,100000
mce-table-buttons,no,Doesn't include editor functionality,100000
pdf-embedder,no,Some editor UI is missing,100000
portfolio-post-type,no,Some editor UI is missing,100000
revision-control,no,Some editor UI is missing,100000
sidekick,no,Some editor UI is missing,100000
wp-editor,no,Doesn't include editor functionality,100000
ad-inserter,testing,,100000
advanced-excerpt,testing,,100000
blogger-importer,testing,,100000
column-shortcodes,testing,,100000
contact-form-7-datepicker,testing,,100000
cornerstone,testing,,100000
envira-gallery-lite,testing,,100000
mailchimp,testing,,100000
shareaholic,testing,,100000
sumome,testing,,100000
ultimate-social-media-icons,testing,,100000
unyson,testing,,100000
woocommerce-gateway-paypal-powered-by-braintree,testing,,100000
404-to-301,yes,Doesn't include editor functionality,100000
all-404-redirect-to-homepage,yes,Doesn't include editor functionality,100000
all-in-one-favicon,yes,Doesn't include editor functionality,100000
auto-terms-of-service-and-privacy-policy,yes,Doesn't include editor functionality,100000
automatic-updater,yes,Doesn't include editor functionality,100000
caldera-forms,yes,Existing functionality works in Gutenberg,100000
call-now-button,yes,Doesn't include editor functionality,100000
child-theme-configurator,yes,Doesn't include editor functionality,100000
cloudflare,yes,Doesn't include editor functionality,100000
cmb2,yes,Doesn't include editor functionality,100000
content-views-query-and-display-post-page,yes,Existing functionality works in Gutenberg,100000
count-per-day,yes,Doesn't include editor functionality,100000
custom-css-js,yes,Doesn't include editor functionality,100000
cyr3lat,yes,Doesn't include editor functionality,100000
disable-google-fonts,yes,Doesn't include editor functionality,100000
display-posts-shortcode,yes,Existing functionality works in Gutenberg,100000
email-address-encoder,yes,Doesn't include editor functionality,100000
email-subscribers,yes,Doesn't include editor functionality,100000
exclude-pages,yes,Existing functionality works in Gutenberg,100000
facebook,yes,Doesn't include editor functionality,100000
favicon-by-realfavicongenerator,yes,Doesn't include editor functionality,100000
genesis-enews-extended,yes,Doesn't include editor functionality,100000
gtranslate,yes,Doesn't include editor functionality,100000
iframe,yes,Existing functionality works in Gutenberg,100000
imagify,yes,Doesn't include editor functionality,100000
instagram-slider-widget,yes,Doesn't include editor functionality,100000
list-category-posts,yes,"Existing functionality works in Gutenberg, Doesn't include editor functionality",100000
members,yes,Existing functionality works in Gutenberg,100000
nav-menu-roles,yes,Doesn't include editor functionality,100000
no-category-base-wpml,yes,Doesn't include editor functionality,100000
oauth-twitter-feed-for-developers,yes,Doesn't include editor functionality,100000
official-statcounter-plugin-for-wordpress,yes,Existing functionality works in Gutenberg,100000
p3-profiler,yes,Doesn't include editor functionality,100000
post-duplicator,yes,Doesn't include editor functionality,100000
pubsubhubbub,yes,Doesn't include editor functionality,100000
q2w3-fixed-widget,yes,Existing functionality works in Gutenberg,100000
recent-posts-widget-extended,yes,Doesn't include editor functionality,100000
relevanssi,yes,Doesn't include editor functionality,100000
remove-query-strings-from-static-resources,yes,Doesn't include editor functionality,100000
search-regex,yes,"Existing functionality works in Gutenberg, Doesn't include editor functionality",100000
seo-image,yes,Doesn't include editor functionality,100000
seo-ultimate,yes,Existing functionality works in Gutenberg,100000
simple-custom-post-order,yes,Doesn't include editor functionality,100000
simple-share-buttons-adder,yes,Doesn't include editor functionality,100000
simple-tags,yes,Existing functionality works in Gutenberg,100000
social-media-feather,yes,Existing functionality works in Gutenberg,100000
social-media-widget,yes,Doesn't include editor functionality,100000
ssl-insecure-content-fixer,yes,Doesn't include editor functionality,100000
stops-core-theme-and-plugin-updates,yes,Existing functionality works in Gutenberg,100000
svg-support,yes,Existing functionality works in Gutenberg,100000
theme-check,yes,Doesn't include editor functionality,100000
uk-cookie-consent,yes,Doesn't include editor functionality,100000
underconstruction,yes,Doesn't include editor functionality,100000
use-any-font,yes,Existing functionality works in Gutenberg,100000
video-thumbnails,yes,Existing functionality works in Gutenberg,100000
widget-css-classes,yes,Doesn't include editor functionality,100000
wordpress-ping-optimizer,yes,Doesn't include editor functionality,100000
wp-jalali,yes,Doesn't include editor functionality,100000
wp-job-manager,yes,Doesn't include editor functionality,100000
wp-retina-2x,yes,Doesn't include editor functionality,100000
wp-sitemap-page,yes,Doesn't include editor functionality,100000
wp-social-bookmarking-light,yes,Doesn't include editor functionality,100000
yith-woocommerce-ajax-search,yes,Doesn't include editor functionality,100000
yith-woocommerce-compare,yes,Existing functionality works in Gutenberg,100000
